Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
mini bus hire redcar,GBP,50,0%,0%,High,73,0.64,1.10,,,,,,,,,,,,,,,,,
mini bus hire stockton on tees,GBP,50,0%,0%,Medium,64,,,,,,,,,,,,,,,,,,,
minibus stockton on tees,GBP,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
minibus hire gateshead,GBP,50,0%,0%,High,87,0.61,3.28,,,,,,,,,,,,,,,,,
coach hire gateshead,GBP,50,0%,0%,Medium,61,,,,,,,,,,,,,,,,,,,
minibus hire darlington,GBP,50,0%,0%,High,80,0.69,1.90,,,,,,,,,,,,,,,,,
coach hire darlington,GBP,50,0%,0%,High,82,1.10,2.21,,,,,,,,,,,,,,,,,
minibus hire hartlepool,GBP,50,0%,0%,High,92,0.64,1.56,,,,,,,,,,,,,,,,,
coach hire hartlepool,GBP,50,0%,0%,High,96,0.92,2.62,,,,,,,,,,,,,,,,,
minibus hire northumberland,GBP,50,0%,0%,Medium,66,0.62,1.58,,,,,,,,,,,,,,,,,
coach hire northumberland,GBP,50,0%,0%,Low,26,1.33,3.88,,,,,,,,,,,,,,,,,
minibus hire teesside,GBP,50,0%,0%,High,96,0.69,1.73,,,,,,,,,,,,,,,,,
coach hire teesside,GBP,50,0%,0%,High,68,0.53,1.77,,,,,,,,,,,,,,,,,
mini bus hire darlington,GBP,50,0%,0%,Medium,58,0.92,2.15,,,,,,,,,,,,,,,,,
mini bus hire gateshead,GBP,50,0%,0%,High,95,0.74,2.40,,,,,,,,,,,,,,,,,
mini bus hire hartlepool,GBP,50,0%,0%,High,95,0.74,2.30,,,,,,,,,,,,,,,,,
self drive minibus hire darlington,GBP,50,0%,0%,High,84,0.35,0.73,,,,,,,,,,,,,,,,,
mini bus hire teesside,GBP,50,0%,0%,High,94,0.62,2.07,,,,,,,,,,,,,,,,,
